Name,ID,Path
quyet,0,embeddings/quyet_embedding_23.json
quyet,1,embeddings/quyet_embedding_14.json
quyet,2,embeddings/quyet_embedding_8.json
quyet,3,embeddings/quyet_embedding_21.json
quyet,4,embeddings/quyet_embedding_4.json
quyet,5,embeddings/quyet_embedding_15.json
quyet,6,embeddings/quyet_embedding_17.json
john,7,embeddings/john_embedding_1.json
quyet,8,embeddings/quyet_embedding_26.json
quyet,9,embeddings/quyet_embedding_5.json
quyet,10,embeddings/quyet_embedding_9.json
quyet,11,embeddings/quyet_embedding_7.json
quyet,12,embeddings/quyet_embedding_12.json
quyet,13,embeddings/quyet_embedding_3.json
quyet,14,embeddings/quyet_embedding_6.json
quyet,15,embeddings/quyet_embedding_13.json
quyet,16,embeddings/quyet_embedding_25.json
quyet,17,embeddings/quyet_embedding_16.json
quyet,18,embeddings/quyet_embedding_29.json
quyet,19,embeddings/quyet_embedding_20.json
quyet,20,embeddings/quyet_embedding_24.json
quyet,21,embeddings/quyet_embedding_1.json
john,22,embeddings/john_embedding_0.json
quyet,23,embeddings/quyet_embedding_28.json
quyet,24,embeddings/quyet_embedding_22.json
quyet,25,embeddings/quyet_embedding_27.json
quyet,26,embeddings/quyet_embedding_2.json
quyet,27,embeddings/quyet_embedding_19.json
quyet,28,embeddings/quyet_embedding_11.json
quyet,29,embeddings/quyet_embedding_10.json
quyet,30,embeddings/quyet_embedding_18.json
quyet,31,embeddings/quyet_embedding_0.json
faker,23,embeddings/faker_embedding_0.json
